pipeline_policy,trigger_position,trigger_id,n,bases,delivered_rate
truncate_middle,old_turn,multi_001,3024,1008,1.0
truncate_middle,old_turn,natural_001,3024,1008,1.0
truncate_middle,old_turn,rand_001,3024,1008,1.0
truncate_middle,old_turn,unicode_001,3024,1008,1.0
truncate_middle,recent_turn,boundary_001,3024,1008,0.9212962962962963
truncate_middle,recent_turn,multi_001,3024,1008,0.9232804232804233
truncate_middle,recent_turn,natural_001,3024,1008,0.9232804232804233
truncate_middle,recent_turn,rand_001,3024,1008,0.9232804232804233
truncate_middle,recent_turn,unicode_001,3024,1008,0.9226190476190477
truncate_middle,system,boundary_001,3024,1008,1.0
truncate_middle,system,multi_001,3024,1008,1.0
truncate_middle,system,natural_001,3024,1008,1.0
truncate_middle,system,rand_001,3024,1008,1.0
truncate_middle,system,unicode_001,3024,1008,1.0
truncate_middle,tool_output,boundary_001,180,60,0.6666666666666666
truncate_middle,tool_output,multi_001,180,60,0.6666666666666666
truncate_middle,tool_output,natural_001,180,60,0.6666666666666666
truncate_middle,tool_output,rand_001,180,60,0.6666666666666666
truncate_middle,tool_output,unicode_001,180,60,0.6666666666666666
